customer_class,month_1_consumption,month_2_consumption,month_3_consumption,month_4_consumption,month_1_month,month_2_month,month_3_month,month_4_month,avg_consumption,consumption_trend,next_month_consumption
RESIDENT,37.85,33.53,30.25,28.56,6,7,8,9,32.55,-3.1,26.29
FACTORY,1608.36,1732.62,1719.23,1815.76,2,3,4,5,1718.99,69.13,1990.73
RESIDENT,28.12,30.36,45.33,35.91,12,1,2,3,34.93,2.6,35.81
ORGANIZATION,95.01,66.2,75.65,99.07,4,5,6,7,83.98,1.35,122.73
ORGANIZATION,131.27,145.91,126.58,153.48,1,2,3,4,139.31,7.4,116.46
PUBLIC_SERVICE,156.52,146.41,166.36,176.22,2,3,4,5,161.38,6.57,161.53
RESIDENT,25.98,27.7,29.79,29.3,11,12,1,2,28.19,1.11,35.96
ORGANIZATION,197.21,155.19,130.68,150.8,8,9,10,11,158.47,-15.47,158.81
RESIDENT,8.53,13.28,15.89,11.58,12,1,2,3,12.32,1.02,18.13
PUBLIC_SERVICE,80.0,118.25,108.6,124.12,2,3,4,5,107.74,14.71,118.37
RESIDENT,17.07,11.27,9.63,9.4,6,7,8,9,11.84,-2.56,3.78
ORGANIZATION,95.42,109.96,117.33,111.01,4,5,6,7,108.43,5.2,85.0
RESIDENT,11.22,7.82,5.17,0.93,6,7,8,9,6.29,-3.43,4.7
RESIDENT,9.99,9.62,17.49,13.73,11,12,1,2,12.71,1.25,21.93
GOVERNMENT,520.25,452.89,476.35,446.39,6,7,8,9,473.97,-24.62,431.44
ORGANIZATION,159.48,124.58,103.82,130.39,2,3,4,5,129.57,-9.7,94.84
RESIDENT,30.58,32.47,29.74,33.58,8,9,10,11,31.59,1.0,28.98
RESIDENT,17.48,6.88,4.86,8.16,8,9,10,11,9.34,-3.11,5.74
GOVERNMENT,368.67,369.23,368.07,370.39,11,12,1,2,369.09,0.57,467.27
ORGANIZATION,193.26,294.95,184.85,195.88,9,10,11,12,217.23,0.87,165.41
FACTORY,1209.84,1441.1,905.83,935.2,8,9,10,11,1122.99,-91.55,1015.53
PUBLIC_SERVICE,68.06,88.18,81.59,49.69,5,6,7,8,71.88,-6.12,46.83
RESIDENT,20.59,19.27,12.48,13.29,6,7,8,9,16.41,-2.43,9.33
FACTORY,1142.07,1082.27,1029.9,1014.25,4,5,6,7,1067.12,-42.61,795.54
PUBLIC_SERVICE,53.44,65.86,65.43,34.25,6,7,8,9,54.75,-6.4,36.47
ORGANIZATION,202.87,187.79,207.32,169.62,4,5,6,7,191.9,-11.08,195.97
RESIDENT,3.24,6.84,5.97,10.8,12,1,2,3,6.71,2.52,7.7
GOVERNMENT,530.76,508.87,531.77,499.97,6,7,8,9,517.84,-10.26,523.77
GOVERNMENT,241.56,287.02,303.15,337.94,10,11,12,1,292.42,32.13,393.65
RESIDENT,13.09,23.77,18.03,15.82,3,4,5,6,17.68,0.91,22.18
RESIDENT,32.07,23.61,23.22,23.84,6,7,8,9,25.69,-2.74,30.37
RESIDENT,21.59,33.23,20.34,19.1,9,10,11,12,23.56,-0.83,22.35
GOVERNMENT,320.55,384.86,363.17,395.07,3,4,5,6,365.91,24.84,375.97
RESIDENT,15.77,13.02,10.81,8.13,8,9,10,11,11.93,-2.55,12.48
RESIDENT,3.39,5.8,4.26,7.64,11,12,1,2,5.27,1.42,8.32
ORGANIZATION,129.63,121.95,123.79,145.6,4,5,6,7,130.24,5.32,104.26
RESIDENT,18.98,20.27,18.63,12.84,4,5,6,7,17.68,-2.05,11.82
RESIDENT,25.84,30.46,20.52,27.6,4,5,6,7,26.1,0.59,30.8
PUBLIC_SERVICE,118.36,113.56,78.3,72.03,6,7,8,9,95.56,-15.44,79.94
ORGANIZATION,73.71,75.82,81.69,55.19,5,6,7,8,71.6,-6.17,22.44
GOVERNMENT,118.47,129.18,139.24,148.6,12,1,2,3,133.87,10.04,159.35
ORGANIZATION,195.57,186.73,182.86,179.37,8,9,10,11,186.13,-5.4,172.21
RESIDENT,27.01,39.02,31.76,33.98,2,3,4,5,32.94,2.32,34.36
RESIDENT,19.42,15.4,20.29,16.0,7,8,9,10,17.78,-1.14,24.73
PUBLIC_SERVICE,142.71,145.36,123.35,135.04,8,9,10,11,136.62,-2.56,123.58
GOVERNMENT,308.0,266.59,431.6,308.92,10,11,12,1,328.78,0.31,324.98
ORGANIZATION,51.38,66.3,78.66,83.82,2,3,4,5,70.04,10.81,56.89
RESIDENT,27.72,26.62,28.25,31.34,5,6,7,8,28.48,1.21,21.64
RESIDENT,15.6,13.57,15.32,16.66,4,5,6,7,15.29,0.35,10.94
GOVERNMENT,428.9,518.72,517.39,535.28,9,10,11,12,500.07,35.46,520.22
RESIDENT,27.41,29.04,26.43,20.2,7,8,9,10,25.77,-2.4,19.5
GOVERNMENT,462.37,494.6,478.65,466.81,3,4,5,6,475.61,1.48,489.09
FACTORY,717.79,790.35,711.53,580.57,6,7,8,9,700.06,-45.74,626.01
GOVERNMENT,291.5,269.13,241.5,265.29,5,6,7,8,266.86,-8.74,224.79
RESIDENT,4.67,14.45,14.23,11.29,12,1,2,3,11.16,2.21,18.79
GOVERNMENT,212.32,137.99,259.62,285.45,12,1,2,3,223.85,24.38,303.54
PUBLIC_SERVICE,127.66,124.65,101.55,118.04,6,7,8,9,117.98,-3.21,106.36
ORGANIZATION,94.19,75.42,95.29,86.7,9,10,11,12,87.9,-2.5,96.9
RESIDENT,17.79,16.68,18.84,21.71,11,12,1,2,18.76,1.31,27.88
RESIDENT,8.42,12.4,3.47,0.5,7,8,9,10,6.2,-2.64,5.27
RESIDENT,35.02,24.32,21.66,24.48,8,9,10,11,26.37,-3.51,24.51
RESIDENT,21.18,12.38,17.05,9.78,5,6,7,8,15.1,-3.8,12.18
RESIDENT,17.48,13.85,16.72,19.34,5,6,7,8,16.85,0.62,12.39
RESIDENT,23.44,22.54,23.38,27.79,10,11,12,1,24.29,1.45,29.48
RESIDENT,29.01,31.43,32.09,36.22,11,12,1,2,32.19,2.4,36.18
RESIDENT,13.06,8.2,10.08,18.7,10,11,12,1,12.51,1.88,21.22
RESIDENT,18.79,13.55,15.21,18.24,1,2,3,4,16.45,-0.18,19.36
RESIDENT,20.11,24.89,29.56,27.47,1,2,3,4,25.51,2.45,38.36
RESIDENT,9.29,5.91,12.38,9.96,10,11,12,1,9.38,0.22,15.02
ORGANIZATION,100.41,136.87,142.08,195.49,11,12,1,2,143.71,31.69,158.35
RESIDENT,25.31,41.92,28.96,21.75,9,10,11,12,29.48,-1.19,32.41
RESIDENT,26.35,30.83,26.86,30.43,11,12,1,2,28.62,1.36,45.68
RESIDENT,23.92,18.29,11.31,16.74,6,7,8,9,17.57,-2.39,15.39
RESIDENT,20.55,15.49,11.57,12.35,9,10,11,12,14.99,-2.73,9.3
FACTORY,1721.02,2855.29,1816.62,1973.26,12,1,2,3,2091.55,84.08,2012.83
RESIDENT,41.65,25.76,27.01,39.02,12,1,2,3,33.36,-0.88,31.76
ORGANIZATION,281.12,230.76,252.64,212.43,3,4,5,6,244.24,-22.9,200.35
FACTORY,1725.11,1811.25,1715.6,1586.13,5,6,7,8,1709.52,-46.33,1431.26
RESIDENT,19.12,17.73,18.85,20.49,2,3,4,5,19.05,0.46,24.88
RESIDENT,19.11,18.5,18.35,18.91,3,4,5,6,18.72,-0.07,13.01
ORGANIZATION,132.97,136.65,95.86,104.33,6,7,8,9,117.45,-9.55,127.85
PUBLIC_SERVICE,150.77,166.38,155.56,172.89,2,3,4,5,161.4,7.37,183.69
RESIDENT,27.53,16.16,22.27,20.16,9,10,11,12,21.53,-2.46,23.54
FACTORY,1744.26,1749.16,1754.93,1998.31,11,12,1,2,1811.66,84.68,2051.32
RESIDENT,24.76,30.82,20.32,21.81,5,6,7,8,24.43,-0.98,19.29
FACTORY,1591.91,1259.05,1497.15,1521.84,1,2,3,4,1467.49,-23.36,1530.14
GOVERNMENT,242.11,268.35,255.07,186.68,4,5,6,7,238.05,-18.48,183.1
RESIDENT,18.03,22.29,17.71,15.2,6,7,8,9,18.31,-0.94,14.0
RESIDENT,31.71,39.68,37.0,39.75,3,4,5,6,37.03,2.68,33.25
RESIDENT,18.56,13.28,19.36,23.48,12,1,2,3,18.67,1.64,23.94
RESIDENT,14.94,14.71,12.51,14.17,5,6,7,8,14.08,-0.26,2.56
RESIDENT,18.35,15.5,10.14,11.29,7,8,9,10,13.82,-2.35,13.31
RESIDENT,34.76,31.89,34.7,32.91,3,4,5,6,33.56,-0.62,31.28
RESIDENT,28.91,32.87,36.6,36.16,1,2,3,4,33.63,2.42,50.95
PUBLIC_SERVICE,43.58,43.22,23.1,56.79,9,10,11,12,41.67,4.4,54.58
RESIDENT,37.53,30.74,30.56,32.48,7,8,9,10,32.83,-1.68,29.66
FACTORY,1871.05,1675.18,1602.78,1543.37,7,8,9,10,1673.1,-109.23,1644.77
RESIDENT,4.4,7.25,9.61,14.63,12,1,2,3,8.97,3.41,6.21
ORGANIZATION,114.15,111.81,119.45,80.38,6,7,8,9,106.45,-11.26,96.24
FACTORY,1720.21,1575.82,2074.27,2765.6,10,11,12,1,2033.97,348.46,1657.47
RESIDENT,26.56,33.71,32.05,26.07,4,5,6,7,29.6,-0.16,24.47
RESIDENT,12.27,18.74,15.17,21.47,3,4,5,6,16.91,3.07,16.4
RESIDENT,32.33,33.21,29.43,32.55,8,9,10,11,31.88,0.07,32.89
ORGANIZATION,199.58,202.18,188.77,207.54,4,5,6,7,199.52,2.65,206.53
GOVERNMENT,363.17,395.07,375.97,381.19,5,6,7,8,378.85,6.01,326.65
RESIDENT,35.06,34.53,38.39,45.46,1,2,3,4,38.36,3.47,41.43
FACTORY,2145.74,2013.33,1920.55,1896.03,6,7,8,9,1993.91,-83.24,1784.74
RESIDENT,24.49,32.41,30.24,25.86,4,5,6,7,28.25,0.46,30.21
PUBLIC_SERVICE,68.73,75.5,89.82,113.9,10,11,12,1,86.99,15.06,87.04
RESIDENT,20.71,22.26,21.5,24.69,10,11,12,1,22.29,1.33,25.63
RESIDENT,8.04,16.22,16.61,16.46,2,3,4,5,14.33,2.81,22.2
RESIDENT,21.84,18.2,17.95,21.4,1,2,3,4,19.85,-0.15,12.8
RESIDENT,48.17,34.24,34.14,37.82,5,6,7,8,38.59,-3.45,31.6
RESIDENT,6.53,4.38,7.67,7.65,9,10,11,12,6.56,0.37,6.62
GOVERNMENT,404.44,415.4,371.79,464.15,8,9,10,11,413.94,19.9,377.41
RESIDENT,18.72,19.83,22.64,26.53,2,3,4,5,21.93,2.6,26.62
PUBLIC_SERVICE,89.65,75.78,101.9,100.1,12,1,2,3,91.86,3.48,123.27
RESIDENT,18.47,17.73,20.16,22.37,10,11,12,1,19.68,1.3,21.33
RESIDENT,32.18,32.57,30.48,42.81,3,4,5,6,34.51,3.54,31.46
RESIDENT,6.32,6.44,0.69,1.75,8,9,10,11,3.8,-1.52,4.85
ORGANIZATION,105.77,158.27,140.98,134.84,1,2,3,4,134.97,9.69,143.53
RESIDENT,8.06,10.41,8.59,20.4,12,1,2,3,11.86,4.11,23.29
RESIDENT,33.29,39.28,31.43,28.9,10,11,12,1,33.23,-1.46,39.68
RESIDENT,14.78,18.24,13.76,7.17,6,7,8,9,13.49,-2.54,4.94
RESIDENT,5.89,2.4,3.21,6.8,10,11,12,1,4.58,0.3,10.82
RESIDENT,9.61,10.57,16.97,17.43,12,1,2,3,13.64,2.61,19.09
RESIDENT,9.05,3.99,14.26,9.3,9,10,11,12,9.15,0.08,11.28
GOVERNMENT,177.02,137.94,218.98,171.02,11,12,1,2,176.24,-2.0,164.3
RESIDENT,31.13,25.55,22.86,21.72,9,10,11,12,25.31,-3.14,19.5
GOVERNMENT,142.44,120.38,87.42,122.31,7,8,9,10,118.14,-6.71,87.63
RESIDENT,8.2,10.08,18.7,21.22,11,12,1,2,14.55,4.34,19.37
FACTORY,1726.48,1736.36,1835.76,1755.72,7,8,9,10,1763.58,9.75,1876.19
ORGANIZATION,143.94,157.78,142.57,145.34,5,6,7,8,147.41,0.47,108.95
ORGANIZATION,172.31,239.23,160.81,199.29,9,10,11,12,192.91,8.99,184.26
RESIDENT,16.51,12.83,11.56,14.55,4,5,6,7,13.86,-0.65,4.57
FACTORY,1257.19,1417.04,1215.1,1355.91,5,6,7,8,1311.31,32.91,1255.43
RESIDENT,32.86,28.2,36.03,39.85,12,1,2,3,34.23,2.33,42.57
ORGANIZATION,73.76,201.13,115.33,93.79,10,11,12,1,121.0,6.68,128.25
RESIDENT,15.58,16.53,19.23,20.43,12,1,2,3,17.94,1.62,23.01
RESIDENT,10.01,11.18,11.86,21.69,11,12,1,2,13.68,3.89,20.17
RESIDENT,4.56,4.74,4.08,8.08,9,10,11,12,5.37,1.17,5.39
GOVERNMENT,220.1,224.11,207.53,194.49,12,1,2,3,211.56,-8.54,225.61
RESIDENT,23.82,22.05,26.37,30.51,11,12,1,2,25.69,2.23,28.12
RESIDENT,6.02,5.07,19.01,13.2,11,12,1,2,10.82,2.39,17.36
PUBLIC_SERVICE,121.9,146.6,122.15,124.93,9,10,11,12,128.89,1.01,139.09
GOVERNMENT,350.74,371.04,307.88,332.11,8,9,10,11,340.44,-6.21,431.07
RESIDENT,36.0,30.4,28.6,39.73,6,7,8,9,33.68,1.24,26.18
RESIDENT,20.03,19.16,20.87,23.82,1,2,3,4,20.97,1.26,26.48
RESIDENT,29.15,32.96,29.59,35.82,11,12,1,2,31.88,2.22,41.78
GOVERNMENT,114.09,229.37,92.97,121.16,8,9,10,11,139.4,2.36,174.97
RESIDENT,22.85,25.07,23.7,31.49,12,1,2,3,25.78,2.88,33.76
RESIDENT,14.64,16.58,12.67,12.49,4,5,6,7,14.1,-0.72,14.7
RESIDENT,0.5,0.5,5.31,8.27,12,1,2,3,3.64,2.59,7.57
RESIDENT,27.32,31.6,39.15,27.84,3,4,5,6,31.48,0.17,26.93
RESIDENT,26.62,28.17,24.63,27.74,9,10,11,12,26.79,0.37,30.1
ORGANIZATION,141.36,154.23,186.28,131.75,4,5,6,7,153.41,-3.2,136.94
FACTORY,1224.33,1572.41,1037.68,1194.54,8,9,10,11,1257.24,-9.93,1237.92
RESIDENT,17.53,10.71,14.58,17.36,2,3,4,5,15.04,-0.06,26.42
RESIDENT,19.67,15.69,19.62,10.34,5,6,7,8,16.33,-3.11,10.24
PUBLIC_SERVICE,29.23,51.77,41.38,75.32,2,3,4,5,49.42,15.36,66.06
RESIDENT,43.69,37.02,37.32,35.3,5,6,7,8,38.33,-2.8,30.39
RESIDENT,5.31,8.27,7.57,9.72,2,3,4,5,7.72,1.47,10.36
RESIDENT,25.39,26.15,29.86,31.98,11,12,1,2,28.35,2.2,46.52
RESIDENT,18.78,13.72,13.43,13.78,5,6,7,8,14.93,-1.67,12.02
RESIDENT,4.09,0.5,0.68,0.63,9,10,11,12,1.47,-1.15,7.1
RESIDENT,28.0,17.61,21.3,20.05,3,4,5,6,21.74,-2.65,24.61
RESIDENT,36.87,32.67,33.72,28.27,5,6,7,8,32.88,-2.87,33.05
RESIDENT,34.17,36.38,31.51,32.7,6,7,8,9,33.69,-0.49,22.91
RESIDENT,16.08,22.6,17.31,23.09,9,10,11,12,19.77,2.34,26.43
RESIDENT,9.49,15.66,12.28,3.97,9,10,11,12,10.35,-1.84,15.78
RESIDENT,20.98,40.08,30.23,46.12,11,12,1,2,34.35,8.38,33.37
FACTORY,907.32,899.82,942.29,744.06,8,9,10,11,873.37,-54.42,651.57
RESIDENT,34.57,29.14,25.85,39.88,7,8,9,10,32.36,1.77,27.18
GOVERNMENT,84.94,197.44,162.96,268.37,11,12,1,2,178.43,61.14,213.61
RESIDENT,35.59,35.43,35.88,31.59,5,6,7,8,34.62,-1.33,29.84
RESIDENT,20.67,13.28,19.31,12.88,9,10,11,12,16.54,-2.6,17.89
PUBLIC_SERVICE,153.75,142.71,145.36,123.35,7,8,9,10,141.29,-10.13,135.04
FACTORY,498.32,713.97,555.56,609.08,11,12,1,2,594.23,36.92,725.5
RESIDENT,14.99,16.8,12.43,12.04,7,8,9,10,14.06,-0.98,14.59
FACTORY,1575.41,1500.27,1498.22,1702.56,10,11,12,1,1569.12,42.38,1777.51
RESIDENT,22.44,31.32,27.45,32.23,3,4,5,6,28.36,3.26,29.48
RESIDENT,30.46,40.24,43.63,44.35,2,3,4,5,39.67,4.63,41.07
GOVERNMENT,304.27,282.07,352.22,367.51,12,1,2,3,326.52,21.08,399.86
RESIDENT,13.93,9.69,13.76,9.83,8,9,10,11,11.8,-1.37,16.74
RESIDENT,14.95,14.14,24.61,19.81,2,3,4,5,18.38,1.62,19.52
ORGANIZATION,90.28,88.24,105.57,172.13,1,2,3,4,114.05,27.28,133.85
ORGANIZATION,86.91,95.01,114.75,149.21,2,3,4,5,111.47,20.77,130.09
RESIDENT,14.32,17.43,20.65,16.23,2,3,4,5,17.16,0.64,16.86
ORGANIZATION,174.68,172.13,187.37,201.33,11,12,1,2,183.88,8.88,219.44
RESIDENT,23.11,26.59,16.86,19.33,4,5,6,7,21.47,-1.26,24.29
RESIDENT,17.81,25.34,17.37,18.48,4,5,6,7,19.75,0.22,11.47
FACTORY,1342.06,1064.23,1244.95,1206.82,9,10,11,12,1214.51,-45.08,1230.13
RESIDENT,32.17,32.46,33.28,31.26,3,4,5,6,32.29,-0.3,34.15
PUBLIC_SERVICE,91.01,82.4,107.37,77.84,5,6,7,8,89.66,-4.39,91.14
ORGANIZATION,162.03,144.84,189.26,154.21,11,12,1,2,162.59,-2.61,183.7
RESIDENT,16.07,11.4,12.69,16.44,12,1,2,3,14.15,0.12,22.29
GOVERNMENT,142.94,79.28,61.59,130.12,9,10,11,12,103.48,-4.27,70.29
RESIDENT,20.33,23.09,24.08,23.93,12,1,2,3,22.86,1.2,24.17
ORGANIZATION,93.85,119.92,136.16,142.2,8,9,10,11,123.03,16.12,118.98
ORGANIZATION,61.76,79.64,118.82,108.83,12,1,2,3,92.26,15.69,112.81
GOVERNMENT,186.68,183.1,156.32,185.52,7,8,9,10,177.9,-0.39,122.97
FACTORY,2196.51,1541.37,1461.91,1506.42,7,8,9,10,1676.55,-230.03,1441.65
RESIDENT,21.2,12.19,16.06,14.52,10,11,12,1,15.99,-2.23,22.98
RESIDENT,11.44,20.15,14.31,14.15,4,5,6,7,15.01,0.9,6.72
RESIDENT,25.23,19.33,22.89,29.29,2,3,4,5,24.19,1.35,24.92
PUBLIC_SERVICE,94.85,77.34,94.32,102.93,11,12,1,2,92.36,2.69,130.42
RESIDENT,6.97,4.04,8.37,5.85,12,1,2,3,6.31,-0.37,15.34
ORGANIZATION,168.16,184.45,169.85,212.66,11,12,1,2,183.78,14.83,200.29
RESIDENT,4.51,10.57,17.49,16.02,1,2,3,4,12.15,3.84,14.34
FACTORY,1260.13,895.78,745.17,812.03,5,6,7,8,928.28,-149.37,605.09
RESIDENT,7.77,9.08,0.5,3.42,8,9,10,11,5.19,-1.45,8.73
GOVERNMENT,348.43,316.87,296.36,286.8,5,6,7,8,312.12,-20.54,280.92
RESIDENT,15.53,15.97,10.84,7.85,6,7,8,9,12.55,-2.56,10.43
RESIDENT,19.72,19.99,18.78,13.72,3,4,5,6,18.05,-2.0,13.43
RESIDENT,38.83,37.83,31.17,31.03,6,7,8,9,34.72,-2.6,34.69
GOVERNMENT,520.28,437.58,428.34,491.92,1,2,3,4,469.53,-9.45,537.32
GOVERNMENT,110.16,186.81,138.24,72.4,7,8,9,10,126.9,-12.59,128.47
GOVERNMENT,210.59,184.68,191.47,132.77,7,8,9,10,179.88,-25.94,180.11
FACTORY,711.51,674.89,836.53,554.57,6,7,8,9,694.38,-52.31,591.14
PUBLIC_SERVICE,120.0,137.06,133.93,147.18,2,3,4,5,134.54,9.06,141.42
RESIDENT,4.33,7.61,5.47,7.19,10,11,12,1,6.15,0.95,5.76
RESIDENT,13.31,9.78,19.76,2.24,8,9,10,11,11.27,-3.69,7.43
ORGANIZATION,81.34,76.6,105.1,95.87,10,11,12,1,89.73,4.84,93.21
ORGANIZATION,66.01,49.05,56.69,36.41,7,8,9,10,52.04,-9.87,58.04
ORGANIZATION,163.83,180.18,184.47,194.0,10,11,12,1,180.62,10.06,189.66
ORGANIZATION,60.91,50.25,62.73,45.72,9,10,11,12,54.9,-5.06,84.68
RESIDENT,20.15,24.57,30.58,20.92,4,5,6,7,24.05,0.26,16.11
GOVERNMENT,678.01,479.62,419.82,454.72,7,8,9,10,508.04,-74.43,392.94
RESIDENT,38.91,26.39,25.43,29.8,9,10,11,12,30.13,-3.04,27.56
GOVERNMENT,412.24,377.3,424.21,429.29,9,10,11,12,410.76,5.68,475.13
RESIDENT,27.88,29.15,24.21,20.55,3,4,5,6,25.45,-2.44,22.52
RESIDENT,39.86,32.72,27.83,33.45,5,6,7,8,33.47,-2.14,29.48
RESIDENT,7.28,6.06,5.75,5.94,9,10,11,12,6.26,-0.45,9.82
RESIDENT,32.65,31.02,58.77,54.0,1,2,3,4,44.11,7.12,40.49
RESIDENT,15.28,32.45,14.46,14.58,9,10,11,12,19.19,-0.23,20.82
RESIDENT,13.85,3.58,17.28,16.47,2,3,4,5,12.79,0.87,8.43
RESIDENT,8.0,14.64,7.36,10.38,2,3,4,5,10.1,0.79,9.6
GOVERNMENT,636.21,403.4,436.63,399.42,7,8,9,10,468.92,-78.93,368.92
RESIDENT,24.22,22.05,17.12,22.65,8,9,10,11,21.51,-0.52,20.96
FACTORY,1139.19,1526.18,1267.56,1261.31,10,11,12,1,1298.56,40.71,1290.23
RESIDENT,36.73,49.25,40.53,38.23,4,5,6,7,41.18,0.5,35.45
RESIDENT,46.28,34.87,30.18,29.56,5,6,7,8,35.22,-5.57,31.23
RESIDENT,22.35,22.08,23.36,28.97,11,12,1,2,24.19,2.21,30.4
RESIDENT,20.46,22.31,15.94,17.06,8,9,10,11,18.94,-1.13,17.12
RESIDENT,29.74,33.58,28.98,34.13,10,11,12,1,31.61,1.46,40.09
FACTORY,1609.53,1882.37,1867.05,1800.82,4,5,6,7,1789.94,63.76,1643.18
RESIDENT,28.56,26.29,26.04,19.35,9,10,11,12,25.06,-3.07,30.27
ORGANIZATION,156.63,163.99,164.42,138.85,5,6,7,8,155.97,-5.93,133.67
RESIDENT,38.69,41.82,45.87,45.59,2,3,4,5,42.99,2.3,43.21
RESIDENT,31.15,31.84,32.37,35.12,9,10,11,12,32.62,1.32,29.12
PUBLIC_SERVICE,43.18,65.79,58.41,67.22,1,2,3,4,58.65,8.01,60.89
PUBLIC_SERVICE,38.66,41.45,43.76,41.73,10,11,12,1,41.4,1.02,39.71
RESIDENT,21.56,11.57,16.11,15.02,4,5,6,7,16.06,-2.18,14.44
GOVERNMENT,211.89,262.54,209.67,176.96,7,8,9,10,215.27,-11.64,190.02
FACTORY,1822.32,1942.69,1935.03,1726.48,4,5,6,7,1856.63,-31.95,1736.36
FACTORY,1778.41,1701.98,1881.65,1929.78,10,11,12,1,1822.96,50.46,2061.2
RESIDENT,29.88,27.34,26.23,22.09,7,8,9,10,26.39,-2.6,25.37
RESIDENT,16.19,13.12,20.04,21.96,12,1,2,3,17.83,1.92,17.97
ORGANIZATION,45.15,52.53,100.31,88.54,12,1,2,3,71.63,14.46,86.3
PUBLIC_SERVICE,59.98,64.46,79.67,76.24,11,12,1,2,70.09,5.42,96.7
RESIDENT,12.87,11.2,4.08,5.15,7,8,9,10,8.32,-2.57,0.78
GOVERNMENT,255.23,231.44,197.48,184.16,7,8,9,10,217.08,-23.69,210.38
RESIDENT,1.01,2.55,2.13,4.48,11,12,1,2,2.54,1.16,10.06
GOVERNMENT,142.67,122.13,191.17,170.6,2,3,4,5,156.64,9.31,197.97
FACTORY,482.09,523.99,471.1,549.09,9,10,11,12,506.57,22.33,429.82
RESIDENT,21.58,17.29,18.44,19.87,8,9,10,11,19.3,-0.57,17.39
ORGANIZATION,60.89,44.33,79.88,100.06,11,12,1,2,71.29,13.06,74.84
GOVERNMENT,346.41,256.4,441.71,257.9,7,8,9,10,325.61,-29.5,202.4
RESIDENT,13.02,22.37,23.73,23.69,2,3,4,5,20.7,3.56,28.05
RESIDENT,27.95,29.81,33.61,26.38,3,4,5,6,29.44,-0.52,32.5
RESIDENT,10.37,9.84,5.74,21.56,10,11,12,1,11.88,3.73,14.81
ORGANIZATION,89.1,81.92,102.27,125.72,11,12,1,2,99.75,12.21,155.24
GOVERNMENT,310.3,297.01,330.07,370.04,2,3,4,5,326.85,19.91,376.27
PUBLIC_SERVICE,99.68,91.72,125.52,101.58,9,10,11,12,104.62,0.63,97.84
GOVERNMENT,378.4,448.44,461.68,498.43,11,12,1,2,446.74,40.01,487.22
PUBLIC_SERVICE,125.23,142.48,118.99,115.82,5,6,7,8,125.63,-3.14,106.36
RESIDENT,7.67,8.63,9.36,12.27,9,10,11,12,9.48,1.53,15.97
RESIDENT,20.49,22.34,26.07,31.18,12,1,2,3,25.02,3.56,35.16
PUBLIC_SERVICE,140.73,141.32,137.26,139.26,4,5,6,7,139.64,-0.49,157.36
GOVERNMENT,225.2,194.0,272.85,219.81,4,5,6,7,227.96,-1.8,183.7
GOVERNMENT,441.71,257.9,202.4,292.17,9,10,11,12,298.54,-49.85,302.54
PUBLIC_SERVICE,92.08,102.23,95.32,117.27,11,12,1,2,101.72,8.4,129.46
ORGANIZATION,148.13,253.36,145.17,175.93,9,10,11,12,180.65,9.27,153.97
RESIDENT,5.29,9.38,3.38,11.21,2,3,4,5,7.32,1.97,13.31
RESIDENT,26.77,19.17,24.91,20.82,7,8,9,10,22.92,-1.98,20.22
RESIDENT,18.51,12.03,11.82,25.36,10,11,12,1,16.93,2.28,22.19
PUBLIC_SERVICE,92.75,96.5,95.22,121.58,11,12,1,2,101.51,9.61,106.17
RESIDENT,25.41,28.67,20.98,40.08,9,10,11,12,28.79,4.89,30.23
ORGANIZATION,84.36,112.6,93.62,105.54,1,2,3,4,99.03,7.06,124.68
ORGANIZATION,146.15,171.95,169.46,136.28,4,5,6,7,155.96,-3.29,132.34
RESIDENT,6.39,0.5,11.77,17.45,12,1,2,3,9.03,3.69,18.24
ORGANIZATION,102.55,125.87,123.01,118.79,12,1,2,3,117.56,5.41,144.8
RESIDENT,0.5,0.5,5.46,0.5,10,11,12,1,1.74,0.0,5.14
ORGANIZATION,173.53,146.05,171.63,133.17,5,6,7,8,156.09,-13.45,126.24
RESIDENT,26.52,22.75,41.31,21.56,9,10,11,12,28.04,-1.65,24.1
RESIDENT,28.95,25.74,24.44,28.58,8,9,10,11,26.93,-0.12,24.66
FACTORY,1678.39,1598.86,1530.03,1718.79,7,8,9,10,1631.52,13.47,1479.72
FACTORY,930.96,846.28,820.36,742.45,9,10,11,12,835.01,-62.84,921.72
PUBLIC_SERVICE,60.36,81.12,86.44,74.11,11,12,1,2,75.51,4.58,96.62
PUBLIC_SERVICE,104.25,101.41,94.34,88.62,9,10,11,12,97.16,-5.21,100.32
RESIDENT,7.09,0.5,3.17,0.5,9,10,11,12,2.81,-2.2,3.26
RESIDENT,21.69,21.47,19.16,19.44,8,9,10,11,20.44,-0.75,20.57
RESIDENT,21.75,26.97,22.67,19.43,2,3,4,5,22.7,-0.77,27.83
RESIDENT,18.56,24.01,23.11,25.92,1,2,3,4,22.9,2.45,27.62
RESIDENT,17.86,19.27,15.84,16.1,3,4,5,6,17.27,-0.59,11.1
RESIDENT,34.16,39.58,33.95,30.24,5,6,7,8,34.48,-1.31,25.71
RESIDENT,14.05,25.77,13.7,18.02,4,5,6,7,17.88,1.32,14.7
RESIDENT,11.42,13.86,13.02,12.88,3,4,5,6,12.79,0.49,12.76
RESIDENT,15.93,17.98,15.08,11.01,7,8,9,10,15.0,-1.64,10.24
ORGANIZATION,91.66,98.5,91.44,132.83,12,1,2,3,103.61,13.72,130.09
